Video ID,Title,Description,Published At
agm_oW8t8tE,Closures: Anonymous Functions that Capture Environment - Full Crash Rust Tutorial for beginners,Full Rust course: https://www.youtube.com/watch?v=R33h77nrMqc&list=PLPoSdR46FgI412aItyJhj2bF66cudB6Qs&index=1&t=4s ...,2024-10-06T02:14:11Z
deLRc1yvirE,The Stack and the Heap in rust #rustlang #rustprogramming #shorts  #javascript #programmingtutorial,The Stack and the Heap in Rust ALL THE LINKS HERE: https://francescociulla.com.,2024-10-02T15:18:49Z
2B7vyCE8P-E,Writing Error Messages to Standard Error &amp; Standard Output - Full Crash rust Tutorial for beginners,Full Rust course: https://www.youtube.com/watch?v=R33h77nrMqc&list=PLPoSdR46FgI412aItyJhj2bF66cudB6Qs&index=1&t=4s ...,2024-09-29T01:41:49Z
fjkjy50dpK8,Memory Handling in Rust #rustdevelopment #programmingtutorial #rustprogramming #rustlang,,2024-09-26T14:01:28Z
e_BI44VFKJw,Interview question: The FizzBuzz problem - in Rust #rustdevelopment #rust #rustprogramming #shorts,,2024-09-23T13:45:50Z
5mL3mFGQHM0,Environment Variables in Rust - Full Crash Rust Tutorial for Beginners,The Rust series is available here: ...,2024-09-22T01:55:14Z
oiELnqVB8fM,Why might Rust be a smart choice for developers today? #rustdevelopment #programmingtutorial #shorts,,2024-09-20T10:32:42Z
T71J7KzFN-E,What is a REST API - HTTP Methods and API Types,"This video explains REST APIs, covering their functionality, importance, and how they differ from other API types like SOAP, RPC, ...",2024-09-19T12:25:37Z
FYVbt6YFMsM,"Rust Fullstack Web Application: Wasm, Yew, Rocket, Postgres and Docker",Full course: https://www.youtube.com/watch?v=R33h77nrMqc&list=PLPoSdR46FgI412aItyJhj2bF66cudB6Qs&index=1&t=2s My ...,2024-09-17T13:03:14Z
uMzMDU5q7UY,Test Driven Development in Rust - Full Crash Rust tutorial for Beginners,Full course: https://www.youtube.com/watch?v=R33h77nrMqc&list=PLPoSdR46FgI412aItyJhj2bF66cudB6Qs&index=1&t=2s In ...,2024-09-15T02:04:08Z
EbU48bdVC60,Rocket - The Rust Web Framework - Hello World,The Rust series is available here: ...,2024-09-10T13:29:53Z
D_76TcfzDTU,"Build a CLI in Rust, Error Handling and Project Structure - Full Crash Rust Tutorial for Beginners",The Rust series is available here: ...,2024-09-08T02:03:33Z
gXLasQNabDs,Build YouTube API Data Fetching Using Rust - Step-by-Step Guide,My Products Rust book: https://mybook.to/YJI6DI Rust Workbook: https://francescociulla.gumroad.com/l/rustworkbook Rust ...,2024-09-06T13:15:13Z
cJLRKj_N1dw,Reading Files in Rust - Full Crash Rust Tutorial for Beginners,The Rust series is available here: ...,2024-09-03T13:05:59Z
GTwAnUL5fSc,"Rust - A Journey of Developers, Heroes, Linux Realms and the Battle for Safety - The Code Chronicles","Welcome to ""Rust: The Chronicles of Code"" – An Epic Journey Through the Linux Realms and the Battle for Safety. In a realm ...",2024-09-01T09:39:27Z
UmkKTTMbETo,🚨Rust live tutorial - Reading a file,Rust live tutorial - Reading a file.,2024-09-01T02:15:09Z
W81NI-H0m_s,Evolution of Web Development - Infoshare 2024,"In this Talk, We talk about the evolution of Web Development and about the upcoming Trends. Infoshare ...",2024-08-29T11:15:05Z
_T4sE6NEcV0,Build a Rust CLI - Getting Command Line Arguments - Full Crash Rust Tutorial for Beginners,"Lesson Number 33 of the Rust tutorial Series. In this lesson, we will Related Lessons: ...",2024-08-27T13:00:52Z
eOqulcRtIMc,🚨Rust live tutorial - Get Input Arguments,Rust live tutorial - Get Input Arguments.,2024-08-25T01:52:28Z
D8xszTLI4xw,Rust and Docker - an AI-Powered App,"In this talk, I will discuss two technologies I like: Rust and Docker. Using them, I will show how I solved one of my real-time ...",2024-08-23T11:10:56Z
lZ2xWczv1lI,Build a simple Command Line Interface (CLI) in Rust - Full Crash Rust Tutorial for Beginners,Check this Rust Workbook with a BIG discount: https://francescociulla.gumroad.com/l/rustworkbook/YOUTUBE In this video tutorial ...,2024-08-20T13:00:57Z
MiLp0InGOkI,Test Integration and organizing tests - Full Crash Rust Tutorial for Beginners,Check this Rust Workbook with a BIG discount: https://francescociulla.gumroad.com/l/rustworkbook/YOUTUBE Test Organization ...,2024-08-13T13:00:31Z
Cjp4acZbPcY,Controlling How Tests Are Run in Rust - Full Crash Rust Tutorial for Beginners,"In this video, we continue our series on testing in Rust. Specifically, we will explore various aspects of controlling how tests are run ...",2024-08-06T13:00:16Z
LhzkG0COLr0,Controlling How Tests Are Run in Rust - Rust live tutorial,"Just as cargo run compiles your code and then runs the resulting binary, cargo test compiles your code in test mode and runs the ...",2024-08-04T02:35:36Z
UyJ1mEqKMvE,Testing in Rust - Full Rust Crash Course Tutorial for beginners,"In this lesson, we will learn about Rust programming language testing. In this episode, we will take a practical approach, providing ...",2024-07-30T12:59:37Z
04eVRrpESn8,Live on YouTube: tests in Rust,Live on YouTube: tests in Rust.,2024-07-28T02:44:04Z
HqUrE5hbb84,I&#39;m writing a Rust Book! https://rustcrab.com,https://rustcrab.com.,2024-07-24T13:29:00Z
S-SkEA4QWWE,Rust Lifetimes explained Tutorial,Let's understand one of the most important core concept of the Rust programming language: Lifetimes Related Lessons: ...,2024-07-23T13:00:24Z
w8lmMaKY3Hs,Understanding Traits in Rust: A Comprehensive Guide - Full New Crash Rust Tutorial for Beginners,Rust Open Source project: https://www.rustcrab.com/ All the lessons: ...,2024-07-16T13:00:55Z
sLjOV8kYxfE,"Generics in Rust: Functions, Structs, Enums, and Performance",Full course link: https://www.youtube.com/watch?v=R33h77nrMqc&list=PLPoSdR46FgI412aItyJhj2bF66cudB6Qs&index=1 Learn ...,2024-07-09T13:10:00Z
_O1gq-LoL3E,Generic Data Types,Generic Data Types.,2024-07-07T02:31:39Z
gFTJcroX5Ww,"Generics, Traits, and Lifetimes in Rust: Concepts &amp; Examples -Full Crash Rust Tutorial for Beginners","By the end of this video, you will understand the fundamentals of Generics, Traits, and Lifetimes in Rust. We'll start with an ...",2024-07-02T13:05:02Z
6AkRRzcAUKk,Rust Error Handling: When to Use panic! vs Result Explained - Full Crash Rust Tutorial for Beginners,"By the end of this video, you will clearly understand when to use panic! and when to use Result in Rust. We start with a quick ...",2024-06-25T13:10:44Z
gRJvWjrW5r4,"Generic, Traits and Lifetimes in Rust + To panic or not to panic? - Rust tutorial live","In this lesson, we will have 2 topics: - To panic or not to panic? - introduce the Generic Types, Traits and Lifetimes,",2024-06-23T03:07:25Z
fRbHDwFvmxA,Understanding Time and Space Complexity in Algorithms | Big-O Notation Explained - DSA Course,Welcome to this video on Time and Space Complexity! Whether you're new to programming or looking to improve your ...,2024-06-20T13:17:10Z
nMX9_8qOKPY,Getting Started with Cloud - with @KunalKushwaha  from @CivoCloud,"Join us for ""Getting Started with Cloud,"" a live event designed to help you understand the basics and benefits of cloud computing.",2024-06-20T04:07:44Z
NBFH3BnCIvU,"Debugging Rust with Recoverable Errors: Result, Match, ? - Full Crash Rust Tutorial for Beginners","By the end of this video, you will learn how to handle recoverable errors in Rust using the Result type. We start with a basic ...",2024-06-18T13:00:22Z
2XwP1U0XL0E,"Panic!, Unrecoverable Errors and Debugging in Rust - Full Crash Rust Tutorial for Beginners","In this video, we dive into error handling in Rust, focusing on unrecoverable errors using the panic! macro. We start by explaining ...",2024-06-11T13:00:01Z
giF11FuRyC0,🚨🚨🚨LIVE - Error Handling in rust🚨🚨🚨,LIVE - Error Handling in rust       Find Francesco: https://francescociulla.com.,2024-06-09T02:46:46Z
-yXcVNqo0DQ,Master Hash Maps in Rust - Full Crash Rust Tutorial for Beginners,This comprehensive beginner's tutorial teaches you how to store keys with associated values using Hash Maps in Rust.,2024-06-04T13:09:36Z
Pgv83SFaLtU,Hashmaps in Rust - Rust tutorial live,Hashmaps in Rust Find Francesco: https://francescociulla.com.,2024-06-02T02:49:51Z
GK9Iz_ihmV8,Mastering Strings and UTF-8 in Rust - Full Crash Rust Tutorial for Beginners,Dive into the world of Strings and UTF-8 in Rust with our detailed tutorial. Understand how Rust handles strings as collections of ...,2024-05-28T13:00:10Z
VJJtGQTzfeE,Storing UTF-8 Encoded Text with Strings - Rust tutorial live,Storing UTF-8 Encoded Text with Strings - Rust tutorial live Find Francesco: https://francescociulla.com.,2024-05-26T02:52:27Z
f4a8rWkSl8U,"Master Rust Collections: Vectors, Enums, and Iteration - Full Crash Rust Tutorial for Beginners","In this lesson, we dive deep into the world of Rust collections, focusing on Vectors. We'll start by explaining what a Vector is and ...",2024-05-21T13:00:43Z
f3jJHezuy84,Vectors in rust -  Full Crash Rust Tutorial for Beginners (LIVE),This lesson will be about Vectors in Rust Github: https://github.com/FrancescoXX/rust-vectors Find Francesco: ...,2024-05-19T03:14:12Z
-WWHgod2Ac8,Master the &quot;use&quot; Keyword in Rust - Full Crash Rust Tutorial for Beginners,Full playlist: https://www.youtube.com/watch?v=R33h77nrMqc&list=PLPoSdR46FgI412aItyJhj2bF66cudB6Qs&index=1 Are you ...,2024-05-14T13:00:51Z
EGXn9nnHMyE,The &quot;use&quot; keyword in Rust - Rust tutorial live,This lesson will be about one bringing Paths into Scope with the use Keyword Find Francesco: https://francescociulla.com.,2024-05-12T02:42:55Z
fQvqih6fTBw,Paths in rust - Full Crash Rust Tutorial for Beginners,"Unlock the power of paths in Rust with our detailed tutorial. Learn about absolute and relative paths, how to expose paths using ...",2024-05-07T13:11:38Z
GnxpHj8U5Pg,Paths in Rust - Rust tutorial live,This lesson will be about paths for Referring to an Item in the Module Tree https://github.com/FrancescoXX/rust-paths Find ...,2024-05-04T15:27:51Z
C0_b9r1Wcpo,"Mastering Rust Modules: Keywords, Paths, and Visibility - Full Crash Rust Tutorial for Beginners","Mastering Rust Modules: Keywords, Paths, and Visibility - Full Tutorial In this video, we delve into the world of Rust modules, ...",2024-04-30T13:09:49Z
UtDMzjwSLbI,Defining Modules in Rust - Rust tutorial live,This lesson will be about defining Modules to Control Scope and Privacy Find Francesco: https://francescociulla.com.,2024-04-28T03:22:52Z
5LdnfzFdWhE,"Understanding Rust Structure: Packages, Crates, Modules - Full Crash Rust Tutorial for Beginners",Full playlist: https://www.youtube.com/watch?v=R33h77nrMqc&list=PLPoSdR46FgI412aItyJhj2bF66cudB6Qs&index=1 In this ...,2024-04-23T12:57:57Z
IbrlEA8c1cA,Packages and Crates in Rust - Rust Live tutorial,"As you write large programs, organizing your code will become increasingly important. By grouping related functionality and ...",2024-04-21T04:57:08Z
paZ9J8Fq-q4,Concise Control Flow with if let - Rust live tutorial,Concise Control Flow with if let - Rust live tutorial All the links: https://francescociulla.com.,2024-04-14T02:15:43Z
sd1M_CLXl4I,Mastering Rust&#39;s Match Control Flow - Full Crash Rust Tutorial for Beginners,"Discover Rust's powerful control flow construct, ""Match."" Learn how to compare values against various patterns and execute code ...",2024-04-09T14:30:24Z
XQWX7dMqY3U,Enums in Rust - Rust full tutorial,Enums in Rust Enums allow you to define a type by enumerating its possible variants. We'll define and use an enum to show how ...,2024-04-02T13:00:27Z
qFnYYqCKDow,"Build a TypeScript Rest API using Nest.js, Mongo and Docker with @codeSTACKr","In this video, I create a CRUD Rest API in TypeScript using: - Nest.js (TypeScript) - Mongo DB - Docker - Docker Compose GitHub ...",2024-03-30T14:00:08Z
94iSHoKmPmY,Methods for Structs -  Full Crash Rust Tutorial for Beginners,Welcome to the Full Crash Rust Tutorial for Beginners Methods are similar to functions: we declare them with the fn keyword and a ...,2024-03-26T11:00:06Z
7knPQ2wcRCA,Match construct in Rust - Rust tutorial live,This lesson will be about one of my fav constructs in Rust: the Match construct Find Francesco: https://francescociulla.com.,2024-03-24T03:18:49Z
OjOLHtrGBjM,Enums - Rust live tutorial,"In this lesson, we will talk about ""Enums"" in Rust Enums in rust are a way to define a type by enumerating its possible values.",2024-03-23T05:43:36Z
mgK5LezkHl8,An example of Struct in Rust -  Full Crash Rust Tutorial for Beginners,"Welcome to the Rust Full Crash Rust Tutorial for Beginners To understand when we might want to use structs, let's write a ...",2024-03-19T14:34:47Z
VnSSNWSWxWA,Methods - Rust Live Tutorial,"In this lesson, we will talk about Methods for Structs in Rust https://github.com/FrancescoXX/rust-structs-methods Find Francesco: ...",2024-03-17T03:25:56Z
6FbMvS0-DSQ,Struct Example - Rust tutorial,"In this lesson, we will make an example of a program using ""Structs"" in Rust Music provided by TheRelaxedMovement. Check it ...",2024-03-16T05:29:20Z
PCjuO-Bv5FI,Structs in Rust -  Full Crash Rust Tutorial for Beginners,"This lesson is about Structs in Rust. Structs are a way to create more complex data types in Rust. They are similar to tuples, but ...",2024-03-12T14:00:23Z
I43ddpA9mBg,Structs in Rust - Rust live tutorial,"Structs in Rust - Rust live tutorial What are Structs? Type that hold multiple values (similar to tuples, but with key:value pairs) ...",2024-03-10T03:41:10Z
bpkwloIHOEc,Start Coding Web App Instantly with Daytona,GitHub repo: https://github.com/daytonaio/daytona Let's see how we can make the process of creating web applications faster.,2024-03-09T05:16:12Z
dKymZbFp0ZQ,Slice in Rust -  Full Crash Rust Tutorial for Beginners,Welcome to the Full Crash Rust Tutorial for Beginners Rust has a built-in type called Slice that is used to reference a contiguous ...,2024-03-05T14:05:36Z
_I45CzwJMRU,The Slice Type - Rust tutorial,The Slice Type - Rust Tutorial Github link: https://github.com/FrancescoXX/rust-slices All the links: https://francescociulla.com.,2024-03-03T03:59:55Z
Q_0yoX07Fhs,References and Borrowing in Rust -  Full Crash Rust Tutorial for Beginners,"Welcome to the Full Crash Rust Tutorial for Beginners In this lesson, we will see: - Ownership and Functions - Return Values and ...",2024-02-27T14:01:48Z
DiwD_9B-k5w,References and Borrowing - Rust Tutorial,Let's discuss References and Borrowing in Rust. Ownership in Rust: https://youtu.be/9VBLOwmNE1g This is a fundamental part of ...,2024-02-25T03:53:32Z
9VBLOwmNE1g,Ownership in Rust -  Full Crash Rust Tutorial for Beginners,"Welcome to the Full Crash Rust Tutorial for Beginners In this lesson, we will cover the following topics: - What is ownership?",2024-02-20T14:01:01Z
i3XUjukM2WM,Ownership in Rust -  Rust Tutorial,"Let's discuss Ownership in Rust, a very important concept find Francesco: https://francescociulla.com.",2024-02-18T03:45:21Z
2w_FTiD74JI,"Control flow in Rust: If, Match, loop, while, for -  Full Crash Rust Tutorial for Beginners","Welcome to the Full Crash Rust Tutorial for Beginners In this lesson, we'll cover the basic control flow in Rust. We'll cover the ...",2024-02-06T14:00:03Z
ugrXgIZSYkU,"Rust Control Flow: If, loop, while, for - Rust Tutorial","Rust Control Flow: If, loop, while - Rust Tutorial find Francesco: https://francescociulla.com.",2024-02-04T03:33:47Z
hJLc2Zu405A,Functions in Rust -  Full Crash Rust Tutorial for Beginners,Welcome to the Full Crash Rust Tutorial for Beginners Rust functions - What are functions in Rust? basics - Parameters and ...,2024-01-30T14:01:05Z
7sIJYL4p1Bk,Rust Functions - Rust tutorial,Rust Tutorial series: https://www.youtube.com/watch?v=R33h77nrMqc&list=PLPoSdR46FgI412aItyJhj2bF66cudB6Qs Advanced ...,2024-01-28T03:40:06Z
Rsn2G7-XpYk,Docker Compose Watch - Docker quick tutorial,Docker Compose Watch find Francesco: https://francescociulla.com.,2024-01-24T14:10:26Z
NyqJp5M3hRE,Data Types in Rust -  Full Crash Rust Tutorial for Beginners,"Rust is a statically typed language, which means that it must know the types of all variables at compile time. The compiler can ...",2024-01-23T14:03:31Z
w4z_J8gmkSk,Rust Data types - Rust tutorial,ALL the Previous lessons here: ...,2024-01-21T03:32:07Z
5lmPfbSa7cQ,Docker Compose Up - Quick Tutorial,"A simple and effective explanation of the ""docker compose up"" command Github link: ...",2024-01-18T14:04:06Z
6Ag0MZUlvBE,"Variables, Shadowing, Constants in Rust -  Full Crash Rust Tutorial for Beginners",Full Crash Rust Tutorial for Beginners Previous Lesson (Rust Installation + Hello World in Rust ): https://youtu.be/R33h77nrMqc ...,2024-01-16T14:00:04Z
-Juknd9cXXc,Rust Variables and Mutability - Rust Tutorial,prev video https://youtu.be/R33h77nrMqc Let's discuss variables and mutability in Rust. We will discuss: - variables and the ...,2024-01-13T16:48:48Z
R33h77nrMqc,"Rust Installation, Hello World, Hello Cargo -  Full Crash Rust Tutorial for Beginners","Welcome to the Full Crash Rust Tutorial for Beginners. In this lesson, you will be introduced to Rust programming, covering ...",2024-01-09T14:01:30Z
9F_Np8g1W8g,What is Rust and why is it so on hype for 2024? 🦀#rustlang #programming #software #webdevelopment,,2024-01-07T14:00:06Z
QCeZ0CoHA58,"Rust installation, hello world, hello cargo - Rust tutorial","Rust Installation - Rust Hello World - Rust Hello Cargo (cargo new and cargo init) Let's create an hello world in Rust, completely ...",2024-01-07T04:07:11Z
njNXTM6L0wc,"Next.js 14, Python, Docker:  Build a fullstack rest API in TypeScript and Python, using Flask","By the end of this, you will understand and create a simple yet complete full stack app using the following: - Next.js 14 (TypeScript) ...",2024-01-02T13:59:09Z
1afIORRyp58,"Python Full Stack App: Next.js 14, Flask, PostgreSQL, Docker","Let's create a very minimalistic Full Stack App, with these technologies: - nextjs 14 - Flask - SQLAlchemy - PostgreSQL - Docker ...",2023-12-30T16:40:12Z
429-r55KFmM,"nextjs 14, Go, Docker: Build a fullstack rest API in TypeScript and Go","By the end of this video, you will understand and create a simple yet complete full stack app using the following: - Next.js 14 ...",2023-12-26T16:00:04Z
XDHDTGoZ_68,"Full Stack App: Next.js 14, Go, Postgres, Docker","Let's create a very minimalistic Full Stack App, with these technologies: - Next.js 14 - Go - Docker - Docker Compose We will focus ...",2023-12-23T16:45:59Z
77RjzJtC_g4,"Next.js 14, Rust, Docker: Build a fullstack rest API in typeScript and Rust",The Rust series is available here: ...,2023-12-19T15:15:59Z
kPxZXPRMJNw,"Full Stack App: Next.js 14, Rust, Postgres, Docker","Let's create a very minimalistic Full Stack App, with these technologies: - Next.js 14 - Rust (with Serde, no framework) - Docker ...",2023-12-16T16:27:20Z
N-7uYm1PszM,"Next.js, JavaScript, Docker: Build a fullstack REST API using Node.js, Express, Prisma, PostgreSQL","By the end of this video, you will understand and create a simple yet complete full stack app using the following: Next.js 14 ...",2023-12-12T13:56:35Z
NaqNk2TbeRE,"Full Stack Web App: Next.js, Node.js , Express, Prisma, Posgres, Docker (PERN)","Let's create a very minimalistic Full Stack Web application App, with these technologies: - Next.js 14 - Node.js - Express - Prisma ...",2023-12-10T05:04:13Z
jUaen7_R42o,Dockerfile tutorial - Docker course,"find Francesco: https://francescociulla.com 0:00 Intro - What is a Dockerfile? 3:15 Important Dockerfile key-value pairs: FROM, ...",2023-12-05T14:08:19Z
HBakGXpUnjM,Next.js deployed with Docker. Does it make sense?,find Francesco: https://francescociulla.com Next.js website https://nextjs.org/ @next Docker docs: https://docs.docker.com/ ...,2023-11-28T14:26:25Z
2BkLMNJ5TJ4,Angular 17 tutorial - new features!,"In this video, I try the new Angular 17 tutorials and many new features. Angular 17 with Minko Gechev @Angular ...",2023-11-22T14:39:56Z
ge07eJgvtvc,Angular 17 in Action - with Minko Gechev (Google),Angular 17 in Action - with Minko Gechev https://angular.dev @Angular Minko Gechev https://twitter.com/mgechev 0:00 Story of ...,2023-11-18T05:54:39Z
i9M2YBSKp4M,Docker Tutorial Crash Course,"This is the first part of my Docker course/workshop, which will deeply explain how Docker works and what you can do with it. find ...",2023-11-16T14:33:37Z
Gf9RkaHnsR8,"Typescript CRUD API: Next.js, TypeScript, Tailwind, tRPC, Prisma Postgres, Docker","By the end of this video, you will understand how to build a FULL CRUD API app, including a simple frontend to use it, using the ...",2023-07-04T12:57:31Z
1eeR0LoIs-M,How to test APIs with Docker Container using Postman,find Francesco: https://francescociulla.com Previous video: https://youtube.com/live/Uv-jMWV29rU GitHub repository: ...,2023-06-08T14:33:20Z
vhNoiBOuW94,"Rust 🦀 CRUD Rest API - Rust, Postgres, Docker, Docker Compose",Let's create a CRUD Rest API in Rust using: - No specific framework - Serde to serialize and deserialize JSON - Postgres ...,2023-05-04T13:55:41Z
cdlHJeHVFW4,"PHP CRUD Rest API using Laravel, Composer, Postgres, Docker and Docker Compose","In this video, we will build a PHP CRUD Rest API using: - Laravel - Composer - Postgres - Docker - Docker Compose GitHub ...",2023-04-23T02:42:08Z
noJmOirhHKM,Kubernetes quick tutorial - simply explained,find Francesco: https://francescociulla.com Let's make the simplest but understandable Kubernetes example ever.,2023-04-18T13:46:18Z
PY6uD1fgzZA,"C# CRUD Rest API using .NET 7, ASP.NET, Entity Framework, Postgres, Docker, Docker Compose","In this video, we will build a CRUD Rest API in C# (or C sharp) using: - .Net 7 - ASP.NET (Framework) - Entity Framework (ORM) ...",2023-04-16T02:36:37Z
f4cHtDRZv5U,Docker init - Docker short tutorial,New Docker init command. https://docs.docker.com/engine/reference/commandline/init/ find Francesco: ...,2023-04-13T13:58:48Z
BbT1PCAOS2s,"Build a CRUD Rest API with Kotlin, Postgres, Docker and docker compose","Let's create a CRUD Rest API in Kotlin, using: - Spring boot - Gradle - Hibernate - Postgres - Docker - Docker Compose All the ...",2023-04-09T02:52:13Z
dIyqbtEUTxI,Platformatic in Action - with Matteo Collina,Let's see Platformatic in Action with Matteo Collina (Co-Founder & CTO of Platformatic) Github Repository: ...,2023-04-06T04:35:01Z
GaPAGkJDzGQ,"Python CRUD Rest API in Python using Django, Django Rest Framework, Postgres, Docker, Docker compose","In this livestream, we will build a CRUD Rest API in Python using: - Django - Django rest framework - Postgres - Docker - Docker ...",2023-04-02T02:48:02Z
3sSuZ1Lv8nE,Don&#39;t send your CV to get a DevRel Job!,find Francesco: https://francescociulla.com.,2023-03-28T13:56:01Z
gqFauCpPSlw,"Build a CRUD Rest API in TypeScript, using Nest.js, TypeORM, Postgres, Docker and Docker Compose","In this livestream, we will build a CRUD Rest API in TypeScript, from scratch, using: - Nest.js as a framework - TypeORM as an ...",2023-03-26T03:52:03Z
Nefd6qdpdSI,"Build a CRUD Rest API in Java using Spring boot, Hibernate, Postgres, Docker and Docker Compose","In this Live episode, I will create a set of CRUD Rest API in Java, using Spring Boot, Hibernate, Postgres as a Database and ...",2023-03-12T05:09:40Z
Qmq6EAnmlA0,Public Speaking as a DevRel,"In this video, I share some thoughts about public speaking and 3 things that can help you before jumping on stage for the first time.",2023-03-07T15:02:42Z
CSgWIUswUOM,Can you be a DevRel if you are a non-native speaker?,"In this video, I share my thought about how you can become a DevRel, even if you are not a native speaker. Good luck 0:00 Intro.",2023-02-28T14:33:33Z
B3y2qLoszlQ,What is a Developer Advocate? | @themarcba @_wearedevs @dailydotdev #devrel,What is a Developer Advocate?,2023-02-27T15:38:23Z
aLVJY-1dKz8,"Build a CRUD Rest API in Go using Mux, Postgres, Docker and Docker Compose #golang #docker","In this Live episode, I will create a set of CRUD Rest API in Go, using Mux, Postgres as a Database and Docker. We will test it ...",2023-02-26T04:12:49Z
fHQWTsWqBdE,"Build a CRUD Rest API in Python using Flask, Postgres, Docker and Docker compose #python #docker","In this Live episode, I will create a set of CRUD Rest API, using Flask, SQLAlchemy Postgres as a Database, Docker and Docker ...",2023-02-19T04:29:15Z
rFNh3APd2wQ,The Power of Web3modal - WalletConnect in Action,Find Francesco: https://francescociulla.com WalletConnect @walletconnectofficial #walletconnect #web3modal ...,2023-02-18T06:03:50Z
oAcHG96Bqog,3 Types of DevRel,"In this video, I will talk about the 3 different types of DevRels 0:00 Intro. 3 types of DevRels 0:56 Community Builder 1:57 Content ...",2023-02-14T14:57:10Z
Uv-jMWV29rU,"JavaScript CRUD Rest API: Nodejs, Express, Postgres, Sequelize, Docker","In this Live episode, I will build a set of CRUD APIs, using: - Node.js, - Express - Sequelize - Postgres as a Database - Docker ...",2023-02-12T03:54:02Z
RCODaKac_9A,How to get started with DevRel - 4 Main Factors,Find Francesco: https://francescociulla.com How to find the good company for you as a DevRel. 4 Main factors: - Experience as a ...,2023-02-07T14:38:57Z
K9ADWSTqdRw,6 Definitions of DevRel and Developer Advocacy,"In this episode of DevRel Unloced, we start from the basics. And the basics are the definition of DevRel and Developer Advocacy.",2023-01-31T13:54:02Z
_G3B26KmKTA,What is DevRel and How to get Started - with Marc Backes,Event link: https://ti.to/wearedevelopers/world-congress-2023/discount/WWC23_FRAN15 @_wearedevs Marc Backes: ...,2023-01-24T15:09:07Z
